code,label,datatype,mandatory,standard
E1-1_05,E1,string,True,ESRS E1
E1-1_06,E1,string,True,ESRS E1
E1-1_07,E1,string,True,ESRS E1
E1-1_08,E1,string,True,ESRS E1
E1-1_09,E1,string,True,ESRS E1
E1-1_10,E1,string,True,ESRS E1
E1-1_11,E1,string,True,ESRS E1
E1-1_12,E1,string,True,ESRS E1
E1-1_13,E1,string,True,ESRS E1
E1-1_14,E1,string,True,ESRS E1
E1-1_15,E1,string,True,ESRS E1
E1-1_16,E1,string,True,ESRS E1
E1.SBM-3_01,E1,string,True,ESRS E1
E1.SBM-3_02,E1,string,True,ESRS E1
E1.SBM-3_03,E1,string,True,ESRS E1
E1.SBM-3_04,E1,string,True,ESRS E1
E1.SBM-3_05,E1,string,True,ESRS E1
E1.SBM-3_06,E1,string,True,ESRS E1
E1.SBM-3_07,E1,string,True,ESRS E1
E1.IRO-1_01,E1,string,True,ESRS E1
E1.IRO-1_02,E1,string,True,ESRS E1
E1.IRO-1_03,E1,string,True,ESRS E1
E1.IRO-1_04,E1,string,True,ESRS E1
E1.IRO-1_05,E1,string,True,ESRS E1
E1.IRO-1_06,E1,string,True,ESRS E1
E1.IRO-1_07,E1,string,True,ESRS E1
E1.IRO-1_08,E1,string,True,ESRS E1
E1.IRO-1_09,E1,string,True,ESRS E1
E1.IRO-1_10,E1,string,True,ESRS E1
E1.IRO-1_11,E1,string,True,ESRS E1
E1.IRO-1_12,E1,string,True,ESRS E1
E1.IRO-1_13,E1,string,True,ESRS E1
E1.IRO-1_14,E1,string,True,ESRS E1
E1.IRO-1_15,E1,string,True,ESRS E1
E1.IRO-1_16,E1,string,True,ESRS E1
E1.MDR-P_01-06,E1,string,True,ESRS E1
E1-2_01,E1,string,True,ESRS E1
E1.MDR-P_07-08,ESRS 2,string,True,ESRS E1
E1.MDR-A_01-12,E1,string,True,ESRS E1
E1-3_01,E1,string,True,ESRS E1
E1-3_02,E1,string,True,ESRS E1
E1-3_03,E1,string,True,ESRS E1
E1-3_04,E1,string,True,ESRS E1
E1-3_05,E1,string,True,ESRS E1
E1-3_06,E1,string,True,ESRS E1
E1-3_07,E1,string,True,ESRS E1
E1-3_08,E1,string,True,ESRS E1
E1.MDR-A_13-14,ESRS 2,string,True,ESRS E1
E1.MDR-T_01-13,E1,string,True,ESRS E1
E1-4_01,E1,string,True,ESRS E1
E1-4_02,E1,string,True,ESRS E1
E1-4_03,E1,string,True,ESRS E1
E1-4_04,E1,string,True,ESRS E1
E1-4_05,E1,string,True,ESRS E1
E1-4_06,E1,string,True,ESRS E1
E1-4_07,E1,string,True,ESRS E1
E1-4_08,E1,string,True,ESRS E1
E1-4_09,E1,string,True,ESRS E1
E1-4_10,E1,string,True,ESRS E1
E1-4_11,E1,string,True,ESRS E1
E1-4_12,E1,string,True,ESRS E1
E1-4_13,E1,string,True,ESRS E1
E1-4_14,E1,string,True,ESRS E1
E1-4_15,E1,string,True,ESRS E1
E1-4_16,E1,string,True,ESRS E1
E1-4_17,E1,string,True,ESRS E1
E1-4_18,E1,string,True,ESRS E1
E1-4_19,E1,string,True,ESRS E1
E1-4_20,E1,string,True,ESRS E1
E1-4_21,E1,string,True,ESRS E1
E1-4_22,E1,string,True,ESRS E1
E1-4_23,E1,string,True,ESRS E1
E1-4_24,E1,string,True,ESRS E1
E1.MDR-T_14-19,ESRS 2,string,True,ESRS E1
E1-5_01,E1,string,True,ESRS E1
E1-5_02,E1,string,True,ESRS E1
E1-5_03,E1,string,True,ESRS E1
E1-5_04,E1,string,True,ESRS E1
E1-5_05,E1,string,True,ESRS E1
E1-5_06,E1,string,True,ESRS E1
E1-5_07,E1,string,True,ESRS E1
E1-5_08,E1,string,True,ESRS E1
E1-5_09,E1,string,True,ESRS E1
E1-5_10,E1,string,True,ESRS E1
E1-5_11,E1,string,True,ESRS E1
E1-5_12,E1,string,True,ESRS E1
E1-5_13,E1,string,True,ESRS E1
E1-5_14,E1,string,True,ESRS E1
E1-5_15,E1,string,True,ESRS E1
E1-5_16,E1,string,True,ESRS E1
E1-5_17,E1,string,True,ESRS E1
E1-5_18,E1,string,True,ESRS E1
E1-5_19,E1,string,True,ESRS E1
E1-5_20,E1,string,True,ESRS E1
E1-5_21,E1,string,True,ESRS E1
E1-5_22,E1,string,True,ESRS E1
E1-5_23,E1,string,True,ESRS E1
E1-6_01,E1,string,True,ESRS E1
E1-6_02,E1,string,True,ESRS E1
E1-6_03,E1,string,True,ESRS E1
E1-6_04,E1,string,True,ESRS E1
E1-6_05,E1,string,True,ESRS E1
E1-6_06,E1,string,True,ESRS E1
E1-6_07,E1,string,True,ESRS E1
E1-6_08,E1,string,True,ESRS E1
E1-6_09,E1,string,True,ESRS E1
E1-6_10,E1,string,True,ESRS E1
E1-6_11,E1,string,True,ESRS E1
E1-6_12,E1,string,True,ESRS E1
E1-6_13,E1,string,True,ESRS E1
E1-6_14,E1,string,True,ESRS E1
E1-6_15,E1,string,True,ESRS E1
E1-6_16,E1,string,True,ESRS E1
E1-6_17,E1,string,True,ESRS E1
E1-6_18,E1,string,True,ESRS E1
E1-6_19,E1,string,True,ESRS E1
E1-6_20,E1,string,True,ESRS E1
E1-6_21,E1,string,True,ESRS E1
E1-6_22,E1,string,True,ESRS E1
E1-6_23,E1,string,True,ESRS E1
E1-6_24,E1,string,True,ESRS E1
E1-6_25,E1,string,True,ESRS E1
E1-6_26,E1,string,True,ESRS E1
