conceptId,lang,role,label
esrs_AbsoluteValueOfTotalGreenhouseGasEmissionsReduction,en,http://www.xbrl.org/2003/role/label,Absolute value of total Greenhouse gas emissions reduction
esrs_AccessToProductsAndServicesMember,en,http://www.xbrl.org/2003/role/label,Access to products and services [member]
esrs_AccessToQualityInformationMember,en,http://www.xbrl.org/2003/role/label,Access to (quality) information [member]
esrs_AccessibilityOfThirdPartyMechanismsAxis,en,http://www.xbrl.org/2003/role/label,Accessibility of third party mechanisms [axis]
esrs_AccessibilityOfThirdPartyMechanismsForAffectedCommunities,en,http://www.xbrl.org/2003/role/label,Accessibility of third party mechanisms for affected communities
esrs_AccessibilityOfThirdPartyMechanismsForConsumersAndEndusers,en,http://www.xbrl.org/2003/role/label,Accessibility of third party mechanisms for consumers and end-users
esrs_AccessibilityOfThirdPartyMechanismsForOwnWorkforce,en,http://www.xbrl.org/2003/role/label,Accessibility of third party mechanisms for own workforce
esrs_AccessibilityOfThirdPartyMechanismsForValueChainWorkers,en,http://www.xbrl.org/2003/role/label,Accessibility of third party mechanisms for value chain workers
esrs_AccessibilityOfThirdPartyMechanismsMember,en,http://www.xbrl.org/2003/role/label,Accessibility of third party mechanisms [member]
esrs_AchieveGenderEqualityAndEmpowerAllWomenAndGirlsMember,en,http://www.xbrl.org/2003/role/label,5 - Achieve gender equality and empower all women and girls [member]
esrs_AchievedGHGEmissionReductions,en,http://www.xbrl.org/2003/role/label,Achieved GHG emission reductions
esrs_ActionCoversActionsTakenToPreventWasteGenerationInUpstreamAndDownstreamValueChain,en,http://www.xbrl.org/2003/role/label,Action covers actions taken to prevent waste generation in upstream and downstream value chain
esrs_ActionCoversApplicationOfCircularBusinessPractices,en,http://www.xbrl.org/2003/role/label,Action covers application of circular business practices
esrs_ActionCoversApplicationOfCircularDesignAndHigherRatesOfReuseRepairRefurbishingRemanufactureRepurposingAndRecycling,en,http://www.xbrl.org/2003/role/label,"Action covers application of circular design and higher rates of Reuse, Repair, Refurbishing, Remanufacture, Repurposing and Recycling"
esrs_ActionCoversHigherLevelsOfResourceEfficiencyInUseOfTechnicalAndBiologicalMaterialsAndWater,en,http://www.xbrl.org/2003/role/label,Action covers higher levels of resource efficiency in use of technical and biological materials and water
esrs_ActionCoversHigherRatesOfUseOfSecondaryRawMaterialsRecyclates,en,http://www.xbrl.org/2003/role/label,Action covers higher rates of use of secondary raw materials (recyclates)
esrs_ActionCoversOptimisationOfWasteManagementInLineWithWasteHierarchy,en,http://www.xbrl.org/2003/role/label,Action covers optimisation of waste management in line with waste hierarchy
esrs_ActionIsTakenToAvoidCausingOrContributingToMaterialNegativeImpactsOnValueChainWorkersNOAffectedCommunitiesNOConsumersAndEndusersThroughOwnPractices,en,http://www.xbrl.org/2003/role/label,Action is taken to avoid causing or contributing to material negative impacts on value chain workers / affected communities / consumers and end-users through own practices
esrs_ActionOccurrenceAxis,en,http://www.xbrl.org/2003/role/label,Action occurrence [axis]
esrs_ActionOccurrenceMember,en,http://www.xbrl.org/2003/role/label,Action occurrence [member]
esrs_ActionRelatesToAreasAtWaterRisk,en,http://www.xbrl.org/2003/role/label,Action relates to areas at water risk
esrs_ActionRelatesToAreasOfHighwaterStress,en,http://www.xbrl.org/2003/role/label,Action relates to areas of high-water stress
esrs_ActionToProvideOrEnableRemedyInRelationToActualMaterialImpactOnOwnWorkforceValueChainWorkersAffectedCommunitiesConsumersAndEndUsersHasBeenTaken,en,http://www.xbrl.org/2003/role/label,Action to provide or enable remedy in relation to actual material impact on own workforce / value chain workers / affected communities / consumers and end-users has been taken
esrs_ActivitiesAreSubjectToIndustrialEmissionDirectiveIedAndRelevantBestAvailableTechniquesReferenceDocumentsBrefs,en,http://www.xbrl.org/2003/role/label,Activities are subject to Industrial Emission Directive (IED) and relevant Best Available Techniques Reference Documents (BREFs)
esrs_ActivitiesRelatedToSitesLocatedInOrNearBiodiversitysensitiveAreasNegativelyAffectTheseAreasByLeadingToDeteriorationOfNaturalHabitatsAndHabitatsOfSpeciesAndToDisturbanceOfSpeciesForWhichProtectedAreaHasBeenDesignated,en,http://www.xbrl.org/2003/role/label,Activities related to sites located in or near biodiversity-sensitive areas negatively affect these areas by leading to deterioration of natural habitats and habitats of species and to disturbance of species for which protected area has been designated
esrs_ActualAndPotentialImpactsOnBiodiversityAndEcosystemsAtOwnSiteLocationsAndInUpstreamAndDownstreamValueChainHaveBeenIdentifiedAndAssessed,en,http://www.xbrl.org/2003/role/label,Actual and potential impacts on biodiversity and ecosystems at own site locations and in upstream and downstream value chain have been identified and assessed
esrs_ActualAndPotentialImpactsOnOwnWorkforceValueChainWorkersAffectedCommunitiesConsumersAndEndusersInformAndContributeToAdaptingStrategyAndBusinessModel,en,http://www.xbrl.org/2003/role/label,Actual and potential impacts on own workforce / value chain workers / affected communities / consumers and end-users inform and contribute to adapting strategy and business model
esrs_ActualAndPotentialImpactsOnOwnWorkforceValueChainWorkersAffectedCommunitiesConsumersAndEndusersOriginateFromOrAreConnectedToStrategyAndBusinessModels,en,http://www.xbrl.org/2003/role/label,Actual and potential impacts on own workforce / value chain workers / affected communities / consumers and end-users originate from or are connected to strategy and business models
esrs_AdaptationSolutionType,en,http://www.xbrl.org/2003/role/label,Adaptation solution type
esrs_AdaptationSolutionTypeAxis,en,http://www.xbrl.org/2003/role/label,Adaptation solution type [axis]
esrs_AdaptationSolutionTypeMember,en,http://www.xbrl.org/2003/role/label,Adaptation solution type [member]
esrs_AdequateFoodMember,en,http://www.xbrl.org/2003/role/label,Adequate food [member]
esrs_AdequateHousingForAffectedCommunitiesMember,en,http://www.xbrl.org/2003/role/label,Adequate housing for affected communities [member]
esrs_AdequateHousingForOwnWorkforceMember,en,http://www.xbrl.org/2003/role/label,Adequate housing for own workforce [member]
esrs_AdequateHousingForValueChainWorkersMember,en,http://www.xbrl.org/2003/role/label,Adequate housing for value chain workers [member]
esrs_AdequateWagesAbstract,en,http://www.xbrl.org/2003/role/label,Adequate wages [abstract]
esrs_AdequateWagesByCountryAbstract,en,http://www.xbrl.org/2003/role/label,Adequate wages by country [abstract]
esrs_AdequateWagesByCountryLineItems,en,http://www.xbrl.org/2003/role/label,Adequate wages by country [line items]
esrs_AdequateWagesByCountryTable,en,http://www.xbrl.org/2003/role/label,Adequate wages by country [table]
esrs_AdequateWagesForOwnWorkforceMember,en,http://www.xbrl.org/2003/role/label,Adequate wages for own workforce [member]
esrs_AdequateWagesForValueChainWorkersMember,en,http://www.xbrl.org/2003/role/label,Adequate wages for value chain workers [member]
esrs_AdequateWagesGeneralAbstract,en,http://www.xbrl.org/2003/role/label,Adequate wages - general [abstract]
esrs_AdequateWagesLineItems,en,http://www.xbrl.org/2003/role/label,Adequate wages [line items]
esrs_AdequateWagesTable,en,http://www.xbrl.org/2003/role/label,Adequate wages [table]
esrs_AdjustingItemsToAssetsAtMaterialPhysicalRisk,en,http://www.xbrl.org/2003/role/label,Adjusting items to assets at material physical risk
esrs_AdjustingItemsToAssetsAtMaterialPhysicalRisk,en,http://www.xbrl.org/2003/role/commentaryGuidance,This XBRL element requires the use of positive/negative fact values to indicate if the amount is increased (+) or decreased (-).
esrs_AdjustingItemsToAssetsAtMaterialTransitionRisk,en,http://www.xbrl.org/2003/role/label,Adjusting items to assets at material transition risk
esrs_AdjustingItemsToAssetsAtMaterialTransitionRisk,en,http://www.xbrl.org/2003/role/commentaryGuidance,This XBRL element requires the use of positive/negative fact values to indicate if the amount is increased (+) or decreased (-).
esrs_AdjustingItemsToLiabilitiesAtMaterialTransitionRisk,en,http://www.xbrl.org/2003/role/label,Adjusting items to liabilities at material transition risk
esrs_AdjustingItemsToLiabilitiesAtMaterialTransitionRisk,en,http://www.xbrl.org/2003/role/commentaryGuidance,This XBRL element requires the use of positive/negative fact values to indicate if the amount is increased (+) or decreased (-).
esrs_AdjustingItemsToNetRevenueAtMaterialPhysicalRisk,en,http://www.xbrl.org/2003/role/label,Adjusting items to net revenue at material physical risk
