parentId,childId,order
esrs_Scope1GreenhouseGasEmissionsAbstract,esrs_PercentageOfTargetRelatedToScope1GreenhouseGasEmissionsAsOfEmissionsOfBaseYear,40.0
esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationGHGEmissionsReductionTargetsByDecarbonisationLeversLineItems,esrs_LocationBasedScope2GreenhouseGasEmissionsAbstract,30.0
esrs_LocationBasedScope2GreenhouseGasEmissionsAbstract,esrs_AbsoluteValueOfLocationBasedScope2GreenhouseGasEmissionsReduction,10.0
esrs_LocationBasedScope2GreenhouseGasEmissionsAbstract,esrs_PercentageOfTargetRelatedToLocationBasedScope2GreenhouseGasEmissions,20.0
esrs_LocationBasedScope2GreenhouseGasEmissionsAbstract,esrs_PercentageOfLocationBasedScope2GreenhouseGasEmissionsReductionAsOfEmissionsOfBaseYear,30.0
esrs_LocationBasedScope2GreenhouseGasEmissionsAbstract,esrs_PercentageOfTargetRelatedToLocationBasedScope2GreenhouseGasEmissionsAsOfEmissionsOfBaseYear,40.0
esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationGHGEmissionsReductionTargetsByDecarbonisationLeversLineItems,esrs_MarketBasedScope2GreenhouseGasEmissionsAbstract,40.0
esrs_MarketBasedScope2GreenhouseGasEmissionsAbstract,esrs_AbsoluteValueOfMarketBasedScope2GreenhouseGasEmissionsReduction,10.0
esrs_MarketBasedScope2GreenhouseGasEmissionsAbstract,esrs_PercentageOfTargetRelatedToMarketBasedScope2GreenhouseGasEmissions,20.0
esrs_MarketBasedScope2GreenhouseGasEmissionsAbstract,esrs_PercentageOfMarketBasedScope2GreenhouseGasEmissionsReductionAsOfEmissionsOfBaseYear,30.0
esrs_MarketBasedScope2GreenhouseGasEmissionsAbstract,esrs_PercentageOfTargetRelatedToMarketBasedScope2GreenhouseGasEmissionsAsOfEmissionsOfBaseYear,40.0
esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationGHGEmissionsReductionTargetsByDecarbonisationLeversLineItems,esrs_Scope3GreenhouseGasEmissionsAbstract,50.0
esrs_Scope3GreenhouseGasEmissionsAbstract,esrs_AbsoluteValueOfScope3GreenhouseGasEmissionsReduction,10.0
esrs_Scope3GreenhouseGasEmissionsAbstract,esrs_PercentageOfTargetRelatedToScope3GreenhouseGasEmissions,20.0
esrs_Scope3GreenhouseGasEmissionsAbstract,esrs_PercentageOfScope3GreenhouseGasEmissionsReductionAsOfEmissionsOfBaseYear,30.0
esrs_Scope3GreenhouseGasEmissionsAbstract,esrs_PercentageOfTargetRelatedToScope3GreenhouseGasEmissionsAsOfEmissionsOfBaseYear,40.0
esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationGHGEmissionsReductionTargetsByDecarbonisationLeversTable,esrs_GHGCategoryAxis,8.0
esrs_GHGCategoryAxis,esrs_GHGCategoryMember,10.0
esrs_GHGCategoryMember,esrs_PFCsMember,50.0
esrs_GHGCategoryMember,esrs_SF6Member,60.0
esrs_GHGCategoryMember,esrs_CO2Member,10.0
esrs_GHGCategoryMember,esrs_NF3Member,70.0
esrs_GHGCategoryMember,esrs_CH4Member,20.0
esrs_GHGCategoryMember,esrs_OtherGHGCategoryMember,80.0
esrs_GHGCategoryMember,esrs_N2OMember,30.0
esrs_GHGCategoryMember,esrs_HFCsMember,40.0
esrs_DisclosureOfClimaterelatedTargetsExplanatory,esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationGHGEmissionsReductionTargetsAbstract,20.0
esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationGHGEmissionsReductionTargetsAbstract,esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationGHGEmissionsReductionTargetsTable,10.0
esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationGHGEmissionsReductionTargetsAbstract,esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationGHGEmissionsReductionTargetsLineItems,20.0
esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationGHGEmissionsReductionTargetsLineItems,esrs_GrossGreenhouseGasEmissions,10.0
esrs_GrossGreenhouseGasEmissions,esrs_GrossScope1GreenhouseGasEmissions,10.0
esrs_GrossGreenhouseGasEmissions,esrs_GrossLocationBasedScope2GreenhouseGasEmissions,20.0
esrs_GrossGreenhouseGasEmissions,esrs_GrossMarketBasedScope2GreenhouseGasEmissions,30.0
esrs_GrossGreenhouseGasEmissions,esrs_GrossScope3GreenhouseGasEmissions,40.0
esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationGHGEmissionsReductionTargetsTable,esrs_ReportingScopeAxis,8.0
esrs_DisclosureOfClimaterelatedTargetsExplanatory,esrs_GHGEmissionsReductionTargetsAndOrAnyOtherTargetsHaveBeenSetToManageMaterialClimaterelatedImpactsRisksAndOpportunities,10.0
esrs_GHGEmissionsReductionTargetsAndOrAnyOtherTargetsHaveBeenSetToManageMaterialClimaterelatedImpactsRisksAndOpportunities,esrs_DisclosureOfHowGHGEmissionsReductionTargetsAndOrAnyOtherTargetsHaveBeenSetToManageMaterialClimaterelatedImpactsRisksAndOpportunitiesExplanatory,10.0
esrs_DisclosureOfClimaterelatedTargetsExplanatory,esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationScope3GHGEmissionsReductionTargetsGHGProtocolAbstract,30.0
esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationScope3GHGEmissionsReductionTargetsGHGProtocolAbstract,esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationScope3GHGEmissionsReductionTargetsGHGProtocolTable,10.0
esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationScope3GHGEmissionsReductionTargetsGHGProtocolAbstract,esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationScope3GHGEmissionsReductionTargetsGHGProtocolLineItems,20.0
esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationScope3GHGEmissionsReductionTargetsGHGProtocolLineItems,esrs_GrossScope3GreenhouseGasEmissions,10.0
esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationScope3GHGEmissionsReductionTargetsGHGProtocolTable,esrs_ReportingScopeAxis,0.0
esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationScope3GHGEmissionsReductionTargetsGHGProtocolTable,esrs_Scope3GHGEmissionsCategoryGHGProtocolAxis,2.0
esrs_Scope3GHGEmissionsCategoryGHGProtocolAxis,esrs_Scope3GHGEmissionsCategoryGHGProtocolMember,10.0
esrs_Scope3GHGEmissionsCategoryGHGProtocolMember,esrs_Category1PurchasedGoodsAndServicesMember,10.0
esrs_Category1PurchasedGoodsAndServicesMember,esrs_Category11CloudComputingAndDataCentreServicesMember,10.0
esrs_Scope3GHGEmissionsCategoryGHGProtocolMember,esrs_Category2CapitalGoodsMember,20.0
esrs_Scope3GHGEmissionsCategoryGHGProtocolMember,esrs_Category3FuelAndEnergyrelatedActivitiesMember,30.0
esrs_Scope3GHGEmissionsCategoryGHGProtocolMember,esrs_Category8UpstreamLeasedAssetsMember,80.0
esrs_Scope3GHGEmissionsCategoryGHGProtocolMember,esrs_Category5WasteGeneratedInOperationsMember,50.0
esrs_Scope3GHGEmissionsCategoryGHGProtocolMember,esrs_Category10ProcessingOfSoldProductsMember,100.0
esrs_Scope3GHGEmissionsCategoryGHGProtocolMember,esrs_Category11UseOfSoldProductsMember,110.0
esrs_Scope3GHGEmissionsCategoryGHGProtocolMember,esrs_Category12EndoflifeTreatmentOfSoldProductsMember,120.0
esrs_Scope3GHGEmissionsCategoryGHGProtocolMember,esrs_Category13DownstreamLeasedAssetsMember,130.0
esrs_Scope3GHGEmissionsCategoryGHGProtocolMember,esrs_Category14FranchisesMember,140.0
esrs_Scope3GHGEmissionsCategoryGHGProtocolMember,esrs_Category4UpstreamTransportationAndDistributionMember,40.0
esrs_Scope3GHGEmissionsCategoryGHGProtocolMember,esrs_Category9DownstreamTransportationAndDistributionMember,90.0
esrs_Scope3GHGEmissionsCategoryGHGProtocolMember,esrs_Category6BusinessTravelMember,60.0
esrs_Scope3GHGEmissionsCategoryGHGProtocolMember,esrs_Category7EmployeeCommutingMember,70.0
esrs_Scope3GHGEmissionsCategoryGHGProtocolMember,esrs_Category15InvestmentsMember,150.0
esrs_DisclosureOfClimaterelatedTargetsExplanatory,esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationGHGEmissionsReductionTargetsByDecarbonisationLeversIntensityValueAbstract,60.0
esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationGHGEmissionsReductionTargetsByDecarbonisationLeversIntensityValueAbstract,esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationGHGEmissionsReductionTargetsByDecarbonisationLeversIntensityValueTable,10.0
esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationGHGEmissionsReductionTargetsByDecarbonisationLeversIntensityValueTable,esrs_DecarbonisationLeverAxis,14.0
esrs_TargetsRelatedToClimateChangeMitigationAndAdaptationGHGEmissionsReductionTargetsByDecarbonisationLeversIntensityValueTable,esrs_ReportingScopeAxis,8.0
