tag_id,dimension_tag_id,name
esrs_NameOfOtherThanGenderAspectOfDiversityTypedAxis,esrs_GenderDimensionMale,Gender
esrs_NumberOfEmissionAllowancesStoredFromPreviousAllowancesAtBeginningOfReportingPeriod,esrs_TimeDimensionPeriod,Time
esrs_NumberOfEmployeesHeadCountAtTopManagementLevelAtEndOfPeriod,esrs_TimeDimensionPeriod,Time
esrs_NumberOfEmployeesHeadCountAtTopManagementLevelDuringPeriod,esrs_TimeDimensionPeriod,Time
esrs_NumberOfEmployeesHeadCountBetween30And50YearsOldAtEndOfPeriod,esrs_TimeDimensionPeriod,Time
esrs_NumberOfEmployeesHeadCountBetween30And50YearsOldDuringPeriod,esrs_TimeDimensionPeriod,Time
esrs_NumberOfEmployeesHeadCountDuringPeriod,esrs_TimeDimensionPeriod,Time
esrs_NumberOfEmployeesHeadCountOrFulltimeEquivalentAtEndOfPeriod,esrs_TimeDimensionPeriod,Time
esrs_NumberOfEmployeesHeadCountOrFulltimeEquivalentDuringPeriod,esrs_TimeDimensionPeriod,Time
esrs_NumberOfEmployeesHeadCountOver50YearsOldAtEndOfPeriod,esrs_TimeDimensionPeriod,Time
esrs_NumberOfEmployeesHeadCountOver50YearsOldDuringPeriod,esrs_TimeDimensionPeriod,Time
esrs_NumberOfEmployeesHeadCountUnder30YearsOldAtEndOfPeriod,esrs_TimeDimensionPeriod,Time
esrs_NumberOfEmployeesHeadCountUnder30YearsOldDuringPeriod,esrs_TimeDimensionPeriod,Time
esrs_NumberOfEmployeesHeadcountAtEndOfPeriod,esrs_TimeDimensionPeriod,Time
esrs_NumberOfEmployeesInCountriesWith50OrMoreEmployeesRepresentingAtLeast10PercentOfTotalNumberOfEmployeesAtEndOfPeriod,esrs_TimeDimensionPeriod,Time
esrs_NumberOfEmployeesInCountriesWith50OrMoreEmployeesRepresentingAtLeast10PercentOfTotalNumberOfEmployeesDuringPeriod,esrs_TimeDimensionPeriod,Time
esrs_NumberOfEmployeesReceivingAnticorruptionAndAntibriberyTrainingDuringPeriod,esrs_TimeDimensionPeriod,Time
esrs_NumberOfEmployeesWhoHaveLeftUndertakingDuringPeriod,esrs_TimeDimensionPeriod,Time
esrs_NumberOfNonemployeesInOwnWorkforceAtEndOfPeriod,esrs_TimeDimensionPeriod,Time
esrs_NumberOfNonemployeesInOwnWorkforceDuringPeriod,esrs_TimeDimensionPeriod,Time
esrs_NumberOfNonemployeesInOwnWorkforcePeopleProvidedByUndertakingsPrimarilyEngagedInEmploymentActivitiesAtEndOfPeriod,esrs_TimeDimensionPeriod,Time
esrs_NumberOfNonemployeesInOwnWorkforcePeopleProvidedByUndertakingsPrimarilyEngagedInEmploymentActivitiesDuringPeriod,esrs_TimeDimensionPeriod,Time
esrs_NumberOfNonemployeesInOwnWorkforceSelfemployedPeopleAtEndOfPeriod,esrs_TimeDimensionPeriod,Time
esrs_NumberOfNonemployeesInOwnWorkforceSelfemployedPeopleDuringPeriod,esrs_TimeDimensionPeriod,Time
esrs_NumberOfScope1GHGEmissionAllowancesWithinRegulatedEmissionTradingSchemes,esrs_ScopeDimensionScope1,GHGScope
esrs_OtherLongtermTimeHorizonInYearsCountedFromReportingPeriod,esrs_TimeDimensionPeriod,Time
esrs_OtherMediumtermTimeHorizonInYearsCountedFromReportingPeriod,esrs_TimeDimensionPeriod,Time
esrs_OtherScope3GreenhouseGasEmissionsMember,esrs_ScopeDimensionScope3,GHGScope
esrs_OtherThanFemaleAndMaleMember,esrs_GenderDimensionMale,Gender
esrs_PercentageOfApproximateGrossScope1GreenhouseGasEmissionsCoveredByInternalCarbonPricingScheme,esrs_ScopeDimensionScope1,GHGScope
esrs_PercentageOfApproximateGrossScope2GreenhouseGasEmissionsCoveredByInternalCarbonPricingScheme,esrs_ScopeDimensionScope1,GHGScope
esrs_PercentageOfApproximateGrossScope3GreenhouseGasEmissionsCoveredByInternalCarbonPricingScheme,esrs_ScopeDimensionScope3,GHGScope
esrs_PercentageOfContractualInstrumentsScope2GHGEmissions,esrs_ScopeDimensionScope1,GHGScope
esrs_PercentageOfContractualInstrumentsUsedForSaleAndPurchaseOfEnergyBundledWithAttributesAboutEnergyGenerationInRelationToScope2GHGEmissions,esrs_ScopeDimensionScope1,GHGScope
esrs_PercentageOfContractualInstrumentsUsedForSaleAndPurchaseOfUnbundledEnergyAttributeClaimsInRelationToScope2GHGEmissions,esrs_ScopeDimensionScope1,GHGScope
esrs_PercentageOfEntitledEmployeesThatTookFamilyrelatedLeaveByGenderAbstract,esrs_GenderDimension,Gender
esrs_PercentageOfEntitledEmployeesThatTookFamilyrelatedLeaveByGenderLineItems,esrs_GenderDimension,Gender
esrs_PercentageOfEntitledEmployeesThatTookFamilyrelatedLeaveByGenderTable,esrs_GenderDimension,Gender
esrs_PercentageOfGrossScope3GreenhouseGasEmissionsCalculatedUsingPrimaryDataObtainedFromSuppliersOrOtherValueChainPartners,esrs_ScopeDimensionScope3,GHGScope
esrs_PercentageOfLocationBasedScope2GreenhouseGasEmissionsReductionAsOfEmissionsOfBaseYear,esrs_ScopeDimensionLocationBased,GHGScope
esrs_PercentageOfLocationBasedScope2GreenhouseGasEmissionsReductionAsOfEmissionsOfBaseYear,esrs_TimeDimensionBaseYear,Time
esrs_PercentageOfMarketBasedScope2GreenhouseGasEmissionsReductionAsOfEmissionsOfBaseYear,esrs_ScopeDimensionMarketBased,GHGScope
esrs_PercentageOfMarketBasedScope2GreenhouseGasEmissionsReductionAsOfEmissionsOfBaseYear,esrs_TimeDimensionBaseYear,Time
esrs_PercentageOfMarketbasedScope2GHGEmissionsLinkedToPurchasedElectricityBundledWithInstruments,esrs_ScopeDimensionScope1,GHGScope
esrs_PercentageOfMembersOfAdministrativeManagementAndSupervisoryBodiesByGenderAbstract,esrs_GenderDimension,Gender
esrs_PercentageOfMembersOfAdministrativeManagementAndSupervisoryBodiesByGenderLineItems,esrs_GenderDimension,Gender
esrs_PercentageOfMembersOfAdministrativeManagementAndSupervisoryBodiesByGenderTable,esrs_GenderDimension,Gender
esrs_PercentageOfScope1GreenhouseGasEmissionsFromRegulatedEmissionTradingSchemes,esrs_ScopeDimensionScope1,GHGScope
esrs_PercentageOfScope1GreenhouseGasEmissionsInTotalGreenhouseGasEmissionsReduction,esrs_ScopeDimensionScope1,GHGScope
esrs_PercentageOfScope1GreenhouseGasEmissionsReductionAsOfEmissionsOfBaseYear,esrs_ScopeDimensionScope1,GHGScope
esrs_PercentageOfScope1GreenhouseGasEmissionsReductionAsOfEmissionsOfBaseYear,esrs_TimeDimensionBaseYear,Time
esrs_PercentageOfScope2LocationbasedGreenhouseGasEmissionsInTotalGreenhouseGasEmissionsReduction,esrs_ScopeDimensionScope1,GHGScope
esrs_PercentageOfScope2MarketbasedGreenhouseGasEmissionsInTotalGreenhouseGasEmissionsReduction,esrs_ScopeDimensionScope1,GHGScope
