tag_id,qname,abstract,periodType
esrs_AmountOfSubstancesOfConcernThatLeaveFacilitiesAsPartOfProducts,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AmountOfSubstancesOfConcernThatLeaveFacilitiesAsPartOfProducts,False,duration
esrs_AmountOfSubstancesOfConcernThatLeaveFacilitiesAsProducts,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AmountOfSubstancesOfConcernThatLeaveFacilitiesAsProducts,False,duration
esrs_AmountOfSubstancesOfConcernThatLeaveFacilitiesAsServices,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AmountOfSubstancesOfConcernThatLeaveFacilitiesAsServices,False,duration
esrs_AmountOfSubstancesOfVeryHighConcernThatAreGeneratedOrUsedDuringProductionOrThatAreProcured,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AmountOfSubstancesOfVeryHighConcernThatAreGeneratedOrUsedDuringProductionOrThatAreProcured,False,duration
esrs_AmountOfSubstancesOfVeryHighConcernThatLeaveFacilitiesAsEmissions,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AmountOfSubstancesOfVeryHighConcernThatLeaveFacilitiesAsEmissions,False,duration
esrs_AmountOfSubstancesOfVeryHighConcernThatLeaveFacilitiesAsEmissionsAsProductsOrAsPartOfProductsOrServices,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AmountOfSubstancesOfVeryHighConcernThatLeaveFacilitiesAsEmissionsAsProductsOrAsPartOfProductsOrServices,False,duration
esrs_AmountOfSubstancesOfVeryHighConcernThatLeaveFacilitiesAsPartOfProducts,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AmountOfSubstancesOfVeryHighConcernThatLeaveFacilitiesAsPartOfProducts,False,duration
esrs_AmountOfSubstancesOfVeryHighConcernThatLeaveFacilitiesAsProducts,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AmountOfSubstancesOfVeryHighConcernThatLeaveFacilitiesAsProducts,False,duration
esrs_AmountOfSubstancesOfVeryHighConcernThatLeaveFacilitiesAsServices,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AmountOfSubstancesOfVeryHighConcernThatLeaveFacilitiesAsServices,False,duration
esrs_AmountPaidForMembershipToLobbyingAssociations,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AmountPaidForMembershipToLobbyingAssociations,False,duration
esrs_AnticipatedFinancialEffectsForAssetsAndBusinessActivitiesAtMaterialPhysicalRiskHaveBeenAssessed,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AnticipatedFinancialEffectsForAssetsAndBusinessActivitiesAtMaterialPhysicalRiskHaveBeenAssessed,False,duration
esrs_AnticipatedFinancialEffectsFromMaterialBiodiversityAndEcosystemrelatedRisksAndOpportunitiesTimeHorizonsAbstract,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AnticipatedFinancialEffectsFromMaterialBiodiversityAndEcosystemrelatedRisksAndOpportunitiesTimeHorizonsAbstract,False,duration
esrs_AnticipatedFinancialEffectsFromMaterialBiodiversityAndEcosystemrelatedRisksAndOpportunitiesTimeHorizonsLineItems,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AnticipatedFinancialEffectsFromMaterialBiodiversityAndEcosystemrelatedRisksAndOpportunitiesTimeHorizonsLineItems,False,duration
esrs_AnticipatedFinancialEffectsFromMaterialBiodiversityAndEcosystemrelatedRisksAndOpportunitiesTimeHorizonsTable,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AnticipatedFinancialEffectsFromMaterialBiodiversityAndEcosystemrelatedRisksAndOpportunitiesTimeHorizonsTable,False,duration
esrs_AnticipatedFinancialEffectsFromMaterialPhysicalAndTransitionRisksAbstract,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AnticipatedFinancialEffectsFromMaterialPhysicalAndTransitionRisksAbstract,False,duration
esrs_AnticipatedFinancialEffectsFromMaterialPhysicalAndTransitionRisksDetailedAbstract,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AnticipatedFinancialEffectsFromMaterialPhysicalAndTransitionRisksDetailedAbstract,False,duration
esrs_AnticipatedFinancialEffectsFromMaterialPhysicalAndTransitionRisksDetailedLineItems,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AnticipatedFinancialEffectsFromMaterialPhysicalAndTransitionRisksDetailedLineItems,False,duration
esrs_AnticipatedFinancialEffectsFromMaterialPhysicalAndTransitionRisksDetailedTable,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AnticipatedFinancialEffectsFromMaterialPhysicalAndTransitionRisksDetailedTable,False,duration
esrs_AnticipatedFinancialEffectsFromMaterialPhysicalAndTransitionRisksPercentageOfNetRevenueAbstract,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AnticipatedFinancialEffectsFromMaterialPhysicalAndTransitionRisksPercentageOfNetRevenueAbstract,False,duration
esrs_AnticipatedFinancialEffectsFromMaterialPhysicalAndTransitionRisksPercentageOfNetRevenueGeneralAbstract,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AnticipatedFinancialEffectsFromMaterialPhysicalAndTransitionRisksPercentageOfNetRevenueGeneralAbstract,False,duration
esrs_AnticipatedFinancialEffectsFromMaterialPhysicalAndTransitionRisksPercentageOfNetRevenueLineItems,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AnticipatedFinancialEffectsFromMaterialPhysicalAndTransitionRisksPercentageOfNetRevenueLineItems,False,duration
esrs_AnticipatedFinancialEffectsFromMaterialPhysicalAndTransitionRisksPercentageOfNetRevenueTable,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AnticipatedFinancialEffectsFromMaterialPhysicalAndTransitionRisksPercentageOfNetRevenueTable,False,duration
esrs_AnticipatedFinancialEffectsFromMaterialPhysicalRisksAbstract,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AnticipatedFinancialEffectsFromMaterialPhysicalRisksAbstract,False,duration
esrs_AnticipatedFinancialEffectsFromMaterialPhysicalRisksGeneralAbstract,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AnticipatedFinancialEffectsFromMaterialPhysicalRisksGeneralAbstract,False,duration
esrs_AnticipatedFinancialEffectsFromMaterialPhysicalRisksLineItems,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AnticipatedFinancialEffectsFromMaterialPhysicalRisksLineItems,False,duration
esrs_AnticipatedFinancialEffectsFromMaterialPhysicalRisksTable,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AnticipatedFinancialEffectsFromMaterialPhysicalRisksTable,False,duration
esrs_AnticipatedFinancialEffectsFromMaterialPollutionrelatedRisksAndOpportunitiesAbstract,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AnticipatedFinancialEffectsFromMaterialPollutionrelatedRisksAndOpportunitiesAbstract,False,duration
esrs_AnticipatedFinancialEffectsFromMaterialPollutionrelatedRisksAndOpportunitiesLineItems,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AnticipatedFinancialEffectsFromMaterialPollutionrelatedRisksAndOpportunitiesLineItems,False,duration
esrs_AnticipatedFinancialEffectsFromMaterialPollutionrelatedRisksAndOpportunitiesTable,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AnticipatedFinancialEffectsFromMaterialPollutionrelatedRisksAndOpportunitiesTable,False,duration
esrs_AnticipatedFinancialEffectsFromMaterialPollutionrelatedRisksAndOpportunitiesTimeHorizonsAbstract,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AnticipatedFinancialEffectsFromMaterialPollutionrelatedRisksAndOpportunitiesTimeHorizonsAbstract,False,duration
esrs_AnticipatedFinancialEffectsFromMaterialPollutionrelatedRisksAndOpportunitiesTimeHorizonsGeneralAbstract,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AnticipatedFinancialEffectsFromMaterialPollutionrelatedRisksAndOpportunitiesTimeHorizonsGeneralAbstract,False,duration
esrs_AnticipatedFinancialEffectsFromMaterialPollutionrelatedRisksAndOpportunitiesTimeHorizonsLineItems,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AnticipatedFinancialEffectsFromMaterialPollutionrelatedRisksAndOpportunitiesTimeHorizonsLineItems,False,duration
esrs_AnticipatedFinancialEffectsFromMaterialPollutionrelatedRisksAndOpportunitiesTimeHorizonsTable,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AnticipatedFinancialEffectsFromMaterialPollutionrelatedRisksAndOpportunitiesTimeHorizonsTable,False,duration
esrs_AnticipatedFinancialEffectsFromMaterialResourceUseAndCircularEconomyrelatedRisksAndOpportunitiesTimeHorizonsAbstract,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AnticipatedFinancialEffectsFromMaterialResourceUseAndCircularEconomyrelatedRisksAndOpportunitiesTimeHorizonsAbstract,False,duration
esrs_AnticipatedFinancialEffectsFromMaterialResourceUseAndCircularEconomyrelatedRisksAndOpportunitiesTimeHorizonsLineItems,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AnticipatedFinancialEffectsFromMaterialResourceUseAndCircularEconomyrelatedRisksAndOpportunitiesTimeHorizonsLineItems,False,duration
esrs_AnticipatedFinancialEffectsFromMaterialResourceUseAndCircularEconomyrelatedRisksAndOpportunitiesTimeHorizonsTable,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AnticipatedFinancialEffectsFromMaterialResourceUseAndCircularEconomyrelatedRisksAndOpportunitiesTimeHorizonsTable,False,duration
esrs_AnticipatedFinancialEffectsFromMaterialTransitionRisksAndPotentialClimaterelatedOpportunitiesAbstract,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AnticipatedFinancialEffectsFromMaterialTransitionRisksAndPotentialClimaterelatedOpportunitiesAbstract,False,duration
esrs_AnticipatedFinancialEffectsFromMaterialTransitionRisksAndPotentialClimaterelatedOpportunitiesGeneralAbstract,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AnticipatedFinancialEffectsFromMaterialTransitionRisksAndPotentialClimaterelatedOpportunitiesGeneralAbstract,False,duration
esrs_AnticipatedFinancialEffectsFromMaterialTransitionRisksAndPotentialClimaterelatedOpportunitiesLineItems,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AnticipatedFinancialEffectsFromMaterialTransitionRisksAndPotentialClimaterelatedOpportunitiesLineItems,False,duration
esrs_AnticipatedFinancialEffectsFromMaterialTransitionRisksAndPotentialClimaterelatedOpportunitiesTable,{https://xbrl.efrag.org/taxonomy/draft-esrs/2023-07-31}esrs_AnticipatedFinancialEffectsFromMaterialTransitionRisksAndPotentialClimaterelatedOpportunitiesTable,False,duration
